フォルダパス,ファイル名,ファイルサイズ (MB),MIME タイプ,作成日,最終更新日,ファイルURL,ファイルID
70_Book / kindle,kindlep_遠野物語 （新潮文庫） 柳田国男 228p_4101047014.pdf,27.12,application/pdf,2023-12-12 21:51,2013-08-24 22:21,https://drive.google.com/file/d/1wXOmK0dXMYr_ruBUhhrsZ42lqvxWAIhn/view?usp=drivesdk,1wXOmK0dXMYr_ruBUhhrsZ42lqvxWAIhn
70_Book / kindle,kindlep_種の起原〈下〉 （岩波文庫） チャールズ ダーウィン 408p_400339125X.pdf,51.06,application/pdf,2023-12-12 21:53,2013-08-24 22:13,https://drive.google.com/file/d/1pUV39YL9AJTr4xpaZT4oQ4xt8JIyAEb0/view?usp=drivesdk,1pUV39YL9AJTr4xpaZT4oQ4xt8JIyAEb0
70_Book / kindle,kindlep_種の起原〈上〉 （岩波文庫） チャールズ ダーウィン 446p_4003391241.pdf,54.17,application/pdf,2023-12-12 21:54,2013-08-24 22:12,https://drive.google.com/file/d/1aPmux_axY1d7jWv3z6yXF52TfGVUGn30/view?usp=drivesdk,1aPmux_axY1d7jWv3z6yXF52TfGVUGn30
70_Book / kindle,kindlep_新版 つげ義春とぼく （新潮文庫） つげ 義春 264p_4101328110.pdf,29.26,application/pdf,2023-12-12 21:54,2013-08-24 22:05,https://drive.google.com/file/d/1P6qoBRQt9stdgkM5jscH8Y0DijrKLlS2/view?usp=drivesdk,1P6qoBRQt9stdgkM5jscH8Y0DijrKLlS2
70_Book / kindle,kindlep_新家庭料理 （中公文庫ビジュアル版） 丸元 淑生 157p_4122021421.pdf,17.04,application/pdf,2023-12-12 21:54,2013-08-24 22:04,https://drive.google.com/file/d/1UoazwrDGaW5BGzu0OUNZj1R2sa85COvo/view?usp=drivesdk,1UoazwrDGaW5BGzu0OUNZj1R2sa85COvo
70_Book / kindle,kindlep_図解 マナー以前の社会人常識 （講談社プラスアルファ文庫） 岩下 宣子 224p_4062569639.pdf,18.87,application/pdf,2023-12-12 21:55,2013-08-24 21:57,https://drive.google.com/file/d/1Xl4hW8z3_fKqQJLwmI9Zw3qJS3GvMs9P/view?usp=drivesdk,1Xl4hW8z3_fKqQJLwmI9Zw3qJS3GvMs9P
70_Book / kindle,kindlep_ブッダのことば-スッタニパータ （岩波文庫）  453p_4003330110.pdf,51.57,application/pdf,2023-12-12 21:50,2013-08-24 21:54,https://drive.google.com/file/d/1hg0QmVrqUXOsEuamQhBMtj3tJgC9FSH_/view?usp=drivesdk,1hg0QmVrqUXOsEuamQhBMtj3tJgC9FSH_
70_Book / kindle,kindlep_カーブの向う・ユープケッチャ （新潮文庫） 安部 公房 261p_4101121206.pdf,25.24,application/pdf,2023-12-12 21:47,2013-08-24 21:46,https://drive.google.com/file/d/1or8bquUL1P-gwX0tWLciEFI46uK5PiwN/view?usp=drivesdk,1or8bquUL1P-gwX0tWLciEFI46uK5PiwN
70_Book / kindle,kindlep_わが上司 後藤田正晴-決断するペシミスト （文春文庫） 佐々 淳行 442p_4167560097.pdf,45.44,application/pdf,2023-12-12 21:51,2013-08-24 21:44,https://drive.google.com/file/d/1LkxphdCQl8fGrcQerzx90Y3gPam-U9mI/view?usp=drivesdk,1LkxphdCQl8fGrcQerzx90Y3gPam-U9mI
70_Book / kindle,kindlep_かけがえのない日々 （新潮文庫） 柳田 邦男 309p_410124913X.pdf,28.69,application/pdf,2023-12-12 21:47,2013-08-24 21:43,https://drive.google.com/file/d/1wMmnWFt6Nkte6eeWmdDM1IJ7DEU5C45r/view?usp=drivesdk,1wMmnWFt6Nkte6eeWmdDM1IJ7DEU5C45r
70_Book / kindle,kindlep_魔女の1ダース-正義と常識に冷や水を浴びせる13章 米原 万里 294p_4101465223.pdf,30.12,application/pdf,2023-12-12 21:58,2013-08-04 11:51,https://drive.google.com/file/d/1wK65UOJ9jGMQ0NOH4eunH9y82MLu38L8/view?usp=drivesdk,1wK65UOJ9jGMQ0NOH4eunH9y82MLu38L8
70_Book / kindle,kindlep_私の好きな 古典の女たち （新潮文庫） 瀬戸内 晴美 213p_4101144192.pdf,22.14,application/pdf,2023-12-12 21:53,2013-08-04 11:48,https://drive.google.com/file/d/1n1nTwlC6kY5yJSAhgvvPOFDXA4bI-sPs/view?usp=drivesdk,1n1nTwlC6kY5yJSAhgvvPOFDXA4bI-sPs
70_Book / kindle,kindlep_寂聴古寺巡礼 （新潮文庫） 瀬戸内 寂聴 239p_410114429X.pdf,25.84,application/pdf,2023-12-12 21:54,2013-08-04 11:42,https://drive.google.com/file/d/1wdR8uvos7DRSijcL7apzCj-RiU8R_COZ/view?usp=drivesdk,1wdR8uvos7DRSijcL7apzCj-RiU8R_COZ
70_Book / kindle,kindlep_寂聴の仏教入門 （講談社文庫） 瀬戸内 寂聴 256p_4061850016.pdf,29.39,application/pdf,2023-12-12 21:53,2013-08-04 11:41,https://drive.google.com/file/d/1Lz2HCmC0p6BnuU9tzTxpEbJJ_vUKsl6b/view?usp=drivesdk,1Lz2HCmC0p6BnuU9tzTxpEbJJ_vUKsl6b
70_Book / kindle,kindlep_不実な美女か貞淑な醜女（ブス）か （新潮文庫） 米原 万里 326p_4101465215.pdf,35.74,application/pdf,2023-12-12 21:57,2013-08-04 11:40,https://drive.google.com/file/d/1837tAXhhq-mmWsvUaibZGIW3WgXvTZQ9/view?usp=drivesdk,1837tAXhhq-mmWsvUaibZGIW3WgXvTZQ9
70_Book / kindle,kindlep_ロシアは今日も荒れ模様 （講談社文庫） 米原 万里 288p_4062730804.pdf,30.53,application/pdf,2023-12-12 21:50,2013-08-04 11:39,https://drive.google.com/file/d/1MBkuhXQRqUT5jvD_b_9_BsXBHtaRAklx/view?usp=drivesdk,1MBkuhXQRqUT5jvD_b_9_BsXBHtaRAklx
70_Book / kindle,kindlep_ホモ・ルーデンス （中公文庫） ホイジンガ 477p_4122000254.pdf,57.08,application/pdf,2023-12-12 21:50,2013-08-04 11:38,https://drive.google.com/file/d/1hKuGXq72N1hnlfBoLzdPh004xSEx11y8/view?usp=drivesdk,1hKuGXq72N1hnlfBoLzdPh004xSEx11y8
70_Book / kindle,kindlep_パンツの面目ふんどしの沽券 （ちくま文庫） 米原 万里 302p_4480424229.pdf,29.63,application/pdf,2023-12-12 21:49,2013-08-04 11:35,https://drive.google.com/file/d/1lvidYvMK8vuR6MX8Hv60KjDMhkxMIGkb/view?usp=drivesdk,1lvidYvMK8vuR6MX8Hv60KjDMhkxMIGkb
70_Book / kindle,kindlep_エマ （中公文庫） オースティン 739p_4122000688.pdf,89.12,application/pdf,2023-12-12 21:47,2013-08-04 11:34,https://drive.google.com/file/d/1JFybv1OxFducci-1bErLObV8ZBg8kpHb/view?usp=drivesdk,1JFybv1OxFducci-1bErLObV8ZBg8kpHb
70_Book / kindle,kindlep_アースワークス-大地のいとなみ （ちくま文庫） 内田 美恵 290p_4480023704.pdf,33.81,application/pdf,2023-12-12 21:45,2013-08-04 11:32,https://drive.google.com/file/d/1MZWPqdlx0yJj3OoP33beaWo67UvzkUpB/view?usp=drivesdk,1MZWPqdlx0yJj3OoP33beaWo67UvzkUpB
70_Book / kindle,kindlep_わたしの源氏物語 （集英社文庫） 瀬戸内 寂聴 432p_4087480364.pdf,48.51,application/pdf,2023-12-12 21:51,2013-08-04 11:31,https://drive.google.com/file/d/1qAsM3zW7aLRpNVQ4XHb3ZVN0nd67SoUB/view?usp=drivesdk,1qAsM3zW7aLRpNVQ4XHb3ZVN0nd67SoUB
70_Book / kindle,kindlep_いまなぜ青山二郎なのか （新潮文庫） 白洲 正子 195p_410137905X.pdf,21.48,application/pdf,2023-12-12 21:46,2013-08-04 11:29,https://drive.google.com/file/d/1FiQGAZd4BG7kKLkrIDmxNRVBhvA7arNF/view?usp=drivesdk,1FiQGAZd4BG7kKLkrIDmxNRVBhvA7arNF
70_Book / kindle,kindlep_あきらめない人生 （集英社文庫） 瀬戸内 寂聴 288p_4087483487.pdf,26.95,application/pdf,2023-12-12 21:46,2013-08-04 11:28,https://drive.google.com/file/d/1B6BTJTbdb-5R9iml6sicROp7PEgp7kA3/view?usp=drivesdk,1B6BTJTbdb-5R9iml6sicROp7PEgp7kA3
70_Book / kindle,kindlep_絵のない絵本 （岩波文庫） アンデルセン 111p_400327413X.pdf,10.27,application/pdf,2023-12-12 21:51,2013-06-01 20:37,https://drive.google.com/file/d/1xlal8ChOFT1Uzt0aP-7jBYmBdzYJW6dm/view?usp=drivesdk,1xlal8ChOFT1Uzt0aP-7jBYmBdzYJW6dm
70_Book / kindle,kindlep_結婚十五の歓び （1979年） （岩波文庫）  197p_B000J8IBW2.pdf,20.57,application/pdf,2023-12-12 21:52,2013-06-01 20:36,https://drive.google.com/file/d/1MAUCpNcWThS39OnKS8WWis3bnVQFtF6h/view?usp=drivesdk,1MAUCpNcWThS39OnKS8WWis3bnVQFtF6h
70_Book / kindle,kindlep_新編 綴方教室 （岩波文庫） 豊田 正子 386p_4003320018.pdf,32.69,application/pdf,2023-12-12 21:54,2013-06-01 20:32,https://drive.google.com/file/d/1TuK5l0VuMPHqe5syY5OZxjTVHSROjbHj/view?usp=drivesdk,1TuK5l0VuMPHqe5syY5OZxjTVHSROjbHj
70_Book / kindle,kindlep_惜みなく愛は奪う （岩波文庫 緑 36-5） 有島 武郎 147p_4003103653.pdf,15.79,application/pdf,2023-12-12 21:55,2013-06-01 20:31,https://drive.google.com/file/d/1_vqWpYr9bSA-Nt6R_Y5oLRnHpYfSRTXC/view?usp=drivesdk,1_vqWpYr9bSA-Nt6R_Y5oLRnHpYfSRTXC
